Personagem,Grau,Intermediação,Proximidade,Vetor Próprio
Valjean,0.47368421052631576,0.5699890527836184,0.6440677966101694,0.2676181759885394
Gavroche,0.2894736842105263,0.16511250242584766,0.5135135135135135,0.3178389397749768
Marius,0.25,0.132032488621946,0.5314685314685315,0.25911114534178753
Javert,0.22368421052631576,0.05433155966478436,0.5170068027210885,0.18422516321025706
Thenardier,0.21052631578947367,0.07490122123424225,0.5170068027210885,0.1878077051550095
Enjolras,0.19736842105263158,0.0425533568221771,0.4810126582278481,0.2671786328235667
Fantine,0.19736842105263158,0.12964454098819422,0.46060606060606063,0.08975922949834117
Bossuet,0.17105263157894735,0.03075365017995782,0.475,0.24213078637474136
Courfeyrac,0.17105263157894735,0.00526702988198833,0.4,0.23246719717021408
Joly,0.15789473684210525,0.0021854883087570067,0.39378238341968913,0.22155360926119969
Bahorel,0.15789473684210525,0.0021854883087570067,0.39378238341968913,0.22155360926119969
MmeThenardier,0.14473684210526316,0.02900241873046176,0.46060606060606063,0.12228242172143367
Mabeuf,0.14473684210526316,0.027661236424394314,0.3958333333333333,0.19502891203664763
Cosette,0.14473684210526316,0.023796253454148188,0.4779874213836478,0.11103702398134035
Eponine,0.14473684210526316,0.011487550654163002,0.3958333333333333,0.14193827361489472
Feuilly,0.14473684210526316,0.0012501455659350393,0.3917525773195876,0.21073457488115618
Combeferre,0.14473684210526316,0.0012501455659350393,0.3917525773195876,0.21073457488115618
Gueulemer,0.13157894736842105,0.004960383978389518,0.4634146341463415,0.14543155406625
Grantaire,0.13157894736842105,0.00015037593984962405,0.3584905660377358,0.18663538887401085
Claquesous,0.13157894736842105,0.00486180419559921,0.4523809523809524,0.14153627306562794
Babet,0.13157894736842105,0.004960383978389518,0.4634146341463415,0.14543155406625
Myriel,0.13157894736842105,0.17684210526315788,0.4293785310734463,0.028134336026755368
Prouvaire,0.11842105263157894,0.0,0.3568075117370892,0.17581635449396735
Tholomyes,0.11842105263157894,0.04062934817733579,0.3917525773195876,0.0481461558640121
Montparnasse,0.11842105263157894,0.0038738298738298727,0.4578313253012048,0.13602919446668407
Bamatabois,0.10526315789473684,0.008040935672514621,0.42696629213483145,0.06227506194694947
Blacheville,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Dahlia,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Zephine,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Brujon,0.09210526315789473,0.00043859649122807013,0.38,0.10128691502674181
MmeHucheloup,0.09210526315789473,0.0,0.35348837209302325,0.14071116072806064
MlleGillenormand,0.09210526315789473,0.047598927875243675,0.4418604651162791,0.06316905144338801
Favourite,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Fameuil,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Listolier,0.09210526315789473,0.0,0.34080717488789236,0.01968573670953793
Gillenormand,0.09210526315789473,0.02021062158319776,0.4418604651162791,0.06539729702430215
Champmathieu,0.07894736842105263,0.0,0.40425531914893614,0.04120828302958654
Cochepaille,0.07894736842105263,0.0,0.40425531914893614,0.04120828302958654
Judge,0.07894736842105263,0.0,0.40425531914893614,0.04120828302958654
Chenildieu,0.07894736842105263,0.0,0.40425531914893614,0.04120828302958654
Brevet,0.07894736842105263,0.0,0.40425531914893614,0.04120828302958654
Fauchelevent,0.05263157894736842,0.026491228070175437,0.4021164021164021,0.040048606735689954
Simplice,0.05263157894736842,0.008640295033483888,0.4175824175824176,0.04605501100583567
LtGillenormand,0.05263157894736842,0.0,0.36538461538461536,0.0415398399560889
MmeMagloire,0.039473684210526314,0.0,0.41304347826086957,0.02687299983699642
Anzelma,0.039473684210526314,0.0,0.35185185185185186,0.03765154186582525
MlleBaptistine,0.039473684210526314,0.0,0.41304347826086957,0.02687299983699642
Woman2,0.039473684210526314,0.0,0.4021164021164021,0.04688494243431426
Pontmercy,0.039473684210526314,0.006925438596491228,0.37254901960784315,0.037926966720036696
Toussaint,0.039473684210526314,0.0,0.4021164021164021,0.04688494243431426
Magnon,0.02631578947368421,0.00021720969089390142,0.33480176211453744,0.01563275890749716
MmePontmercy,0.02631578947368421,0.0003508771929824561,0.3153526970954357,0.008420710184175475
MotherInnocent,0.02631578947368421,0.0,0.39790575916230364,0.025627007259539696
Marguerite,0.02631578947368421,0.0,0.41304347826086957,0.02976771474076885
Child2,0.02631578947368421,0.0,0.34234234234234234,0.028879259336728292
Child1,0.02631578947368421,0.0,0.34234234234234234,0.028879259336728292
BaronessT,0.02631578947368421,0.0,0.35185185185185186,0.02702941386613705
MmeBurgon,0.02631578947368421,0.02631578947368421,0.3438914027149321,0.02665876769778803
Perpetue,0.02631578947368421,0.0,0.3179916317991632,0.01131273156589345
Woman1,0.02631578947368421,0.0,0.3958333333333333,0.037636139536560614
CountessDeLo,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Labarre,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868
OldMan,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Cravatte,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Count,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Champtercier,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Geborand,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Napoleon,0.013157894736842105,0.0,0.30158730158730157,0.0023434559950116177
Isabeau,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868
Boulatruelle,0.013157894736842105,0.0,0.34234234234234234,0.01564337736411263
Scaufflaire,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868
Gervais,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868
MmeDeR,0.013157894736842105,0.0,0.39378238341968913,0.022291152877501868
MlleVaubois,0.013157894736842105,0.0,0.3076923076923077,0.005261623192198207
Gribier,0.013157894736842105,0.0,0.2878787878787879,0.0033358543820378307
Jondrette,0.013157894736842105,0.0,0.25675675675675674,0.002220491638940264
MotherPlutarch,0.013157894736842105,0.0,0.2846441947565543,0.016244465520148774
